NOM,,,adresse,adresse secondaire,accès Transports,numéro,mail,description,grandes catégories,sous catégrories,services,public accueilli,Horaires,,hommes/femmes/enfants,ages
ALCOOLIQUES ANONYMES,45.7301763,4.8673558,101 Boulevard des Etats-Unis 69008 Lyon,Maison des associations,,09 69 39 40 20,,organisation de réunions réservée aux personnes ayant un problème d'alcool,SANTE,addiction,réunions,tous,le jeudi de la 3ème semaine du mois à 19h30,,,
AMICALE DU NID ,45.7699447,4.7990359,24 avenue Joannès Masset 69009 Lyon,Les Passerelles,"⇒ METRO : ligne D
Station Gorge de Loup
 
⇒ BUS : lignes 19, 66
Arrêt Piscine de Vaise
",04 78 27 28 20,,"L’Amicale du Nid accueille des femmes, des hommes, des personnes transidentitaires, en danger, ayant connu ou en situation de prostitution. L’Amicale du Nid conçoit et anime également des formations et conduit des actions de prévention, notamment auprès des jeunes. Elle mène des recherches pour améliorer les connaissances du phénomène prostitutionnel",PRECARITE,hebergement d'urgence,"Va à la rencontre des personnes sur les lieux de prostitution
Propose des contacts via Internet
Accueille dans ses établissements, quelle que soit la demande
Accompagne les personnes, à leur rythme et selon leur demande, dans une perspective d’insertion socio-professionnelle
Propose des hébergements d’urgence ou d’insertion, des ateliers d’adaptation à la vie active, des logements adaptés
","femmes,  hommes,  personnes transidentitaires, en danger, ayant connu ou en situation de prostitution","
Lundi – Mardi – Mercredi – Vendredi
9h00 > 12h30 – 13h00 > 17h00
 
Jeudi
14h00 > 17h00
",,,
ACCUEIL DE JOUR MAISON DE RODOLPHE (FNDSA),45.7478090,4.8677063,5 rue Villon 69008 Lyon,,,,,"Lieu d’accueil inconditionnel et convivial pour une mise à l’abri en journée, proposant des actions d’orientation et/ou d’accompagnement et des réponses aux besoins fondamentaux.",PRECARITE,, Réfectoire  / accompagnement social / référent RSA / point santé / accès à l’hygiène / collation / repas midi / vestiaire / buanderie / domiciliation postale / animations / bibliothèque.,"Accueil inconditionnel de toute personne majeure en situation d’exclusion, d’errance, et de grande précarité.","• Horaires : du lundi au vendredi de 7h45 à 15h.
• Horaires hiver (1er novembre au 31 mars) : du lundi au vendredi de 7h à 17h.
",,,
ACCUEIL SAINT-VINCENT (FNDSA),45.7593407,4.8258816,10 rue Bellièvre 69005 Lyon,,,,,"Lieu d’accueil inconditionnel et convivial pour une mise à l’abri en journée, proposant des actions d’orientation et/ou d’accompagnement et des réponses aux besoins fondamentaux",PRECARITE,,Accès à l’hygiène / orientation / collation / vestiaire / buanderie.,"Accueil inconditionnel de toute personne majeure en situation d’exclusion, d’errance, et de grande précarité.","• Horaires : du lundi au vendredi de 8h30 à 11h.
• Horaires hiver (1er novembre au 31 mars) : du lundi au vendredi de 8h30 à 11h, le samedi de 9h à 11h et le dimanche de 9h à 11h.
",,,
MEDECINS DU MONDE - CASO,45.7621376,4.8582439,11/15 boulevard Vivier Merle 69003 Lyon,,,,,"Centre d'accueil, de soinbs et d'orientation.",SANTE | PRECARITE,,"Information et orientation | Prise en charge médicale | Prévention et éducation à la santé | Contraception et suivi de grossesse | Dépistage et vaccination | Entretiens psychologiques | Prise en charge sociale, juridique et aide dans les démarches administratives | Distribution de matériel, de kits d'hygiène, de sacs de couchage, etc. | Recueil et analyse de données pour soutenir notre plaidoyer | Prévention du cancer du col de l'utérus",,"Lundi et vendredi | 9h00 - 11h00
 Mardi et mercredi | 13h30-16h30",,,
MEDECINS DU MONDE - BUS,45.7505145,4.8286839,Place carnot 69002 Lyon,,,,,Bus de Médecins du Monde,SANTE | PRECARITE,,"Information et orientation | Action mobile | Prise en charge médicale | Dépistage et vaccination | Prise en charge sociale, juridique et aide dans les démarches administratives | Distribution de matériel, de kits d'hygiène, de sacs de couchage, etc. | Recueil et analyse de données pour soutenir notre plaidoyer",,Mardi et jeudi | 19h-22h ,,,
MEDECINS DU MONDE - BUS,45.7457626,4.8428022,Place Jean Macé 69007 Lyon,,,,,Bus de Médecins du Monde,SANTE | PRECARITE,,"Information et orientation | Action mobile | Prise en charge médicale | Dépistage et vaccination | Prise en charge sociale, juridique et aide dans les démarches administratives | Distribution de matériel, de kits d'hygiène, de sacs de couchage, etc. | Recueil et analyse de données pour soutenir notre plaidoyer",,Dimanche | 17h-20h ,,,
LE JARDIN COUVERT,45.7550706,4.8448459,12 rue Auguste Lacroix 69003 Lyon,,,04 78 71 04 78,,"Le Jardin Couvert est un espace de rencontre

Le Jardin Couvert est un espace de jeux et de repos où, à travers rencontres et séparations, des liens se tissent entre les enfants, les parents et les accueillants.

Ce passage d'un monde familial à un monde déjà social constitue une expérience fondamentale pour les petits et pour les grands. L'expérience vécue au Jardin Couvert, reconnue et symbolisée, permet que des passerelles soient jetées entre famille et société.",,,"l'enfant, avec l'adulte qui l'accompagne, est accueilli dans un espace vaste et confortable où jouets, livres, trotteurs, toboggan, jeux d'eau, tableau à dessin, bac à sable sont mis à sa dispositionUne participation aux frais de fonctionnement est demandée. Elle manifeste l'intérêt porté à ce lieu par les usagers. Elle en permet la bonne tenueSur la base de 2 Euros par enfant et par passage, cette participation ne doit pas être un empêchement à la fréquentation du Jardin Couvert.","Parents avec enfants de 4 ans et moins 
La fréquentation du Jardin Couvert ne se limite pas aux jeunes enfants et à ceux qui les accompagnent. Les futurs parents y sont les bienvenus",tous les après-midi du lundi au samedi de 14h30 à 18h30 ,,,
EMMAUS CONNECT,45.7377523,4.8522771,"104, route de Vienne 69008 LYON",,"Tramway T4 arrêt Lycée Lumière / T2 arrêt Route de Vienne
Bus C12 et Bus 35 arrêt Benoit Bernard
Station Velo’v « Pierre Delore »",,,"Pour que le numérique profite à tous et surtout aux personnes en précarité sociale, il est nécessaire de leur fournir le « bagage numérique minimum » indispensable à leur autonomie. Celui-ci comprend: un accès solidaire aux outils numériques et à des solutions d’accès régulières et durables à la téléphonie et Internet d’une part, et la bonne connaissance des services numériques utiles à l’insertion.",,,"
",,"Mardi, mercredi, vendredi 9h – 13h et 14h – 18h Jeudi 14h – 18h Samedi 10h – 13h
PERMANENCES CONNECTÉES (sur inscription) Mardi 16h30 – 18h et 18h – 19h30 | Mercredi 16h30 – 18h et 18h – 19h30 | Jeudi 16h30 – 18h  | Vendredi 9h – 10h30 et 10h30 – 12h | Samedi 10h – 13h",,,
PIMMS LYON Etats-Unis,45.7322851,4.8638456,"14 Rue des Serpollières, 69008 Lyon",,,,,"Le PIMMS est une structure de médiation sociale qui propose des services adaptés aux habitants de la métropole et en particulier des QPV (Quartiers politiques de la ville). Les médiateurs accueillent les habitants sur des points de proximité du territoire et peuvent aussi aller à leur contact par téléphone, à leur domicile ou sur des espaces publics tels que les bureaux de Poste, les Gares ou à bord des trains. Le PIMMS propose également sur chacun des points d’accueil, un espace numérique permettant l’accès aux services dématérialisés (ordinateurs, logiciels, accès à internet, impressions…). Le PIMMS s’engage dans la professionnalisation de ses salariés pour favoriser un retour à un emploi durable. ",,,médiation socaile | animation numérique | tremplin professionnel,,sans RDV du lundi au vendredi de  9h à 12h et de 13h30 à 17h30 | Sur RDV pour les demandes de naturalisation française,,,
